,Optim_params_exp,Optim_params_lin,cell,experiment_id,image_name,r_sq_exp,r_sq_lin,session_type
23,"[array([-0.01319861,  0.11984941,  0.01383885]), array([[  1.11669850e-04,  -7.27963500e-04,  -8.14130359e-06],
       [ -7.27963500e-04,   4.68572399e-02,  -8.28245571e-04],
       [ -8.14130359e-06,  -8.28245571e-04,   2.58457721e-05]])]","[array([ 0.00693732,  0.00020182]), array([[  2.61878557e-05,  -9.46549007e-07],
       [ -9.46549007e-07,   4.61731226e-08]])]",2,652844352,im077,0.0426165846756,0.0215778272835,behavior_session_A
24,"[array([ 0.13764422,  1.86660114,  0.02273739]), array([[  4.62323258e-04,   2.51463449e-03,  -1.15121135e-05],
       [  2.51463449e-03,   9.59012098e-01,   6.24356777e-04],
       [ -1.15121135e-05,   6.24356777e-04,   1.17942925e-05]])]","[array([ 0.03519446, -0.00042429]), array([[  8.41414664e-05,  -3.11635062e-06],
       [ -3.11635062e-06,   1.55817531e-07]])]",3,652844352,im066,0.522447791976,0.0287712998911,behavior_session_A
25,"[array([-0.00584177,  1.36642748,  0.00453244]), array([[  3.66210230e-04,  -4.67331467e-02,  -8.92736670e-06],
       [ -4.67331467e-02,   1.37378564e+02,  -7.50475689e-03],
       [ -8.92736670e-06,  -7.50475689e-03,   9.55216270e-06]])]","[array([ 0.01353597, -0.00045974]), array([[  3.01025033e-05,  -1.11490754e-06],
       [ -1.11490754e-06,   5.57453770e-08]])]",3,652844352,im061,0.00255619321721,0.0886047504634,behavior_session_A
26,"[array([-0.00422039,  0.68289214,  0.01613747]), array([[  6.54004085e-04,  -8.24339516e-02,  -1.50983181e-05],
       [ -8.24339516e-02,   6.81067453e+01,  -1.06594029e-02],
       [ -1.50983181e-05,  -1.06594029e-02,   2.02711000e-05]])]","[array([ 0.01176989,  0.00021304]), array([[  6.39370833e-05,  -2.42799051e-06],
       [ -2.42799051e-06,   1.24512334e-07]])]",3,652844352,im062,0.000867844793188,0.00950160188169,behavior_session_A
27,"[array([  8.92266613e-03,   2.32028664e+01,  -2.40611620e-03]), array([[ inf,  inf,  inf],
       [ inf,  inf,  inf],
       [ inf,  inf,  inf]])]","[array([ 0.00373055, -0.00029595]), array([[  3.32773003e-05,  -1.23249261e-06],
       [ -1.23249261e-06,   6.16246309e-08]])]",3,652844352,im069,0.00543236351089,0.0351623524593,behavior_session_A
28,"[array([ -3.44545309e-02,   1.88680217e+01,   1.43880838e-02]), array([[  4.61014673e-04,   4.08529714e+03,  -1.18208890e-05],
       [  4.08529714e+03,   5.50636030e+13,  -4.08531024e+03],
       [ -1.18208890e-05,  -4.08531024e+03,   1.18208890e-05]])]","[array([  1.21751602e-02,   6.93107820e-05]), array([[  4.50066811e-05,  -1.70911453e-06],
       [ -1.70911453e-06,   8.76469008e-08]])]",3,652844352,im085,0.0651064498342,0.00144030853778,behavior_session_A
29,"[array([ 0.03514251,  4.17230813,  0.01860419]), array([[  4.64583779e-04,  -9.47758596e-03,  -1.19288766e-05],
       [ -9.47758596e-03,   1.58293851e+03,   2.23574073e-02],
       [ -1.19288766e-05,   2.23574073e-02,   1.19317122e-05]])]","[array([ 0.02216194, -0.00013669]), array([[  4.52606939e-05,  -1.71876053e-06],
       [ -1.71876053e-06,   8.81415659e-08]])]",3,652844352,im065,0.0670374148592,0.00554737823262,behavior_session_A
30,"[array([ 0.00976087,  0.2744693 ,  0.01594306]), array([[  4.32232165e-04,   1.07474410e-02,  -9.93173507e-06],
       [  1.07474410e-02,   1.11580028e+00,   2.35411436e-03],
       [ -9.93173507e-06,   2.35411436e-03,   2.34936710e-05]])]","[array([ 0.01294513,  0.00019347]), array([[  5.74574579e-05,  -2.07677555e-06],
       [ -2.07677555e-06,   1.01306123e-07]])]",3,652844352,im063,0.00737705919833,0.00915230724949,behavior_session_A
31,"[array([ 0.03121053,  3.08571086,  0.02528175]), array([[  9.10171367e-04,   1.20459832e-02,  -2.22592935e-05],
       [  1.20459832e-02,   4.45734127e+02,   1.63201281e-02],
       [ -2.22592935e-05,   1.63201281e-02,   2.23058743e-05]])]","[array([ 0.03295605, -0.00033637]), array([[  8.01575908e-05,  -2.89726228e-06],
       [ -2.89726228e-06,   1.41329865e-07]])]",3,652844352,im077,0.0267182831484,0.019621743513,behavior_session_A
32,"[array([-0.26442925,  0.08443364,  0.20390226]), array([[ 0.02389055,  0.00052528, -0.0073771 ],
       [ 0.00052528,  0.01976765, -0.01543983],
       [-0.0073771 , -0.01543983,  0.01580381]])]","[array([ 0.02889053,  0.00489264]), array([[  6.59636634e-03,  -2.44309858e-04],
       [ -2.44309858e-04,   1.22154928e-05]])]",4,652844352,im066,0.0715518101679,0.0478431553626,behavior_session_A
